Week,public_road_mileage
1998-12-28,3921728.230769231
1999-01-04,3920968.0
1999-01-11,3921180.480769231
1999-01-18,3921392.9615384615
1999-01-25,3921605.4423076925
1999-02-01,3921817.923076923
1999-02-08,3922030.403846154
1999-02-15,3922242.8846153845
1999-02-22,3922455.3653846155
1999-03-01,3922667.846153846
1999-03-08,3922880.326923077
1999-03-15,3923092.8076923075
1999-03-22,3923305.2884615385
1999-03-29,3923517.769230769
1999-04-05,3923730.25
1999-04-12,3923942.730769231
1999-04-19,3924155.2115384615
1999-04-26,3924367.6923076925
1999-05-03,3924580.173076923
1999-05-10,3924792.653846154
1999-05-17,3925005.1346153845
1999-05-24,3925217.6153846155
1999-05-31,3925430.096153846
1999-06-07,3925642.576923077
1999-06-14,3925855.0576923075
1999-06-21,3926067.5384615385
1999-06-28,3926280.019230769
1999-07-05,3926492.5
1999-07-12,3926704.980769231
1999-07-19,3926917.4615384615
1999-07-26,3927129.9423076925
1999-08-02,3927342.423076923
1999-08-09,3927554.903846154
1999-08-16,3927767.3846153845
1999-08-23,3927979.8653846155
1999-08-30,3928192.346153846
1999-09-06,3928404.826923077
1999-09-13,3928617.3076923075
1999-09-20,3928829.7884615385
1999-09-27,3929042.269230769
1999-10-04,3929254.75
1999-10-11,3929467.230769231
1999-10-18,3929679.7115384615
1999-10-25,3929892.1923076925
1999-11-01,3930104.673076923
1999-11-08,3930317.153846154
1999-11-15,3930529.6346153845
1999-11-22,3930742.1153846155
1999-11-29,3930954.596153846
1999-12-06,3931167.076923077
1999-12-13,3931379.5576923075
1999-12-20,3931592.0384615385
1999-12-27,3931804.519230769
2000-01-03,3932017.0
2000-01-10,3932384.0
2000-01-17,3932751.0
2000-01-24,3933118.0
2000-01-31,3933485.0
2000-02-07,3933852.0
2000-02-14,3934219.0
2000-02-21,3934586.0
2000-02-28,3934953.0
2000-03-06,3935320.0
2000-03-13,3935687.0
2000-03-20,3936054.0
2000-03-27,3936421.0
2000-04-03,3936788.0
2000-04-10,3937155.0
2000-04-17,3937522.0
2000-04-24,3937889.0
2000-05-01,3938256.0
2000-05-08,3938623.0
2000-05-15,3938990.0
2000-05-22,3939357.0
2000-05-29,3939724.0
2000-06-05,3940091.0
2000-06-12,3940458.0
2000-06-19,3940825.0
2000-06-26,3941192.0
2000-07-03,3941559.0
2000-07-10,3941926.0
2000-07-17,3942293.0
2000-07-24,3942660.0
2000-07-31,3943027.0
2000-08-07,3943394.0
2000-08-14,3943761.0
2000-08-21,3944128.0
