Weekly,USMexAdjClose
2013-04-08,12.07750034
2013-04-15,12.24510002
2013-04-22,12.14249992
2013-04-29,12.06009960
2013-05-06,12.10949993
2013-05-13,12.34130001
2013-05-20,12.53569984
2013-05-27,12.80858040
2013-06-03,12.76679993
2013-06-10,12.72060013
2013-06-17,13.29389954
2013-06-24,12.97200012
2013-07-01,13.06369972
2013-07-08,12.80869961
2013-07-15,12.50889969
2013-07-22,12.65530014
2013-07-29,12.64560032
2013-08-05,12.59130001
2013-08-12,12.90970039
2013-08-19,12.99209976
2013-08-26,13.34687996
2013-09-02,13.21681023
2013-09-09,12.94048977
2013-09-16,12.85492039
2013-09-23,13.15013981
2013-09-30,13.08819962
2013-10-07,13.03300953
2013-10-14,12.83742046
2013-10-21,12.86122036
2013-10-28,13.05107975
2013-11-04,13.18083954
2013-11-11,12.92298985
2013-11-18,12.97097969
2013-11-25,13.13123989
2013-12-02,12.90079975
2013-12-09,12.87228012
2013-12-16,12.95505047
2013-12-23,13.05457973
2013-12-30,13.08903980
2014-01-06,12.96800041
2014-01-13,13.23359966
2014-01-20,13.43010044
2014-01-27,13.35663986
2014-02-03,13.27165031
2014-02-10,13.22000027
2014-02-17,13.24355030
2014-02-24,13.31914997
2014-03-03,13.19244003
2014-03-10,13.23176003
2014-03-17,13.22642040
2014-03-24,13.05914974
2014-03-31,13.00549984
2014-04-07,13.05165005
2014-04-14,13.04662037
2014-04-21,13.12952042
2014-04-28,12.99053955
2014-05-05,12.94841003
2014-05-12,12.89710999
2014-05-19,12.85859013
2014-05-26,12.85282993
2014-06-02,12.93326378
2014-06-09,13.00000000
2014-06-16,12.97725964
2014-06-23,12.97148991
2014-06-30,12.97002029
2014-07-07,12.98279953
2014-07-14,12.96580029
2014-07-21,12.94274998
2014-07-28,13.19931030
2014-08-04,13.25378036
2014-08-11,13.05126953
2014-08-18,13.13844013
2014-08-25,13.06933975
2014-09-01,13.03518009
2014-09-08,13.24256992
2014-09-15,13.20621967
2014-09-22,13.46045017
2014-09-29,13.48143005
2014-10-06,13.46930027
2014-10-13,13.54183006
2014-10-20,13.56099987
2014-10-27,13.47889996
2014-11-03,13.52299976
2014-11-10,13.53011990
2014-11-17,13.62685013
2014-11-24,13.93400002
2014-12-01,14.36100006
2014-12-08,14.73707008
2014-12-15,14.58399963
2014-12-22,14.71117020
2014-12-29,14.84360027
2015-01-05,14.57075977
2015-01-12,14.55733013
2015-01-19,14.67800045
2015-01-26,14.95149994
2015-02-02,14.85009956
2015-02-09,14.90110016
2015-02-16,15.04059982
2015-02-23,14.94058990
2015-03-02,15.46127987
2015-03-09,15.48480034
2015-03-16,15.04273987
2015-03-23,15.21207047
2015-03-30,14.80700016
2015-04-06,15.21858978
2015-04-13,15.31284142
2015-04-20,15.38786030
2015-04-27,15.55344963
2015-05-04,15.12561035
2015-05-11,15.00300026
2015-05-18,15.27183914
2015-05-25,15.37366009
2015-06-01,15.70423985
2015-06-08,15.39550972
2015-06-15,15.34130001
2015-06-22,15.55000019
2015-06-29,15.71566010
2015-07-06,15.70048046
2015-07-13,15.92082977
2015-07-20,16.26399994
2015-07-27,16.10494041
2015-08-03,16.15099907
2015-08-10,16.36424065
2015-08-17,16.97987938
2015-08-24,16.74732018
2015-08-31,16.93214035
2015-09-07,16.82831001
2015-09-14,16.64522934
2015-09-21,16.96221924
2015-09-28,16.74527931
2015-10-05,16.40884018
2015-10-12,16.40176010
2015-10-19,16.57210922
2015-10-26,16.50164986
2015-11-02,16.83501625
2015-11-09,16.69449043
2015-11-16,16.52854919
2015-11-23,16.63339996
2015-11-30,16.67222404
2015-12-07,17.41856766
2015-12-14,17.14383698
2015-12-21,17.26817513
2015-12-28,17.21447945
2016-01-04,17.97299957
2016-01-11,18.28812981
2016-01-18,18.41410065
2016-01-25,18.13899994
2016-02-01,18.40733910
2016-02-08,18.90600014
2016-02-15,18.20474052
2016-02-22,18.27961922
2016-02-29,17.76609993
2016-03-07,17.69300079
2016-03-14,17.42041016
2016-03-21,17.57431984
2016-03-28,17.33334923
2016-04-04,17.77000046
2016-04-11,17.70989990
2016-04-18,17.45840073
2016-04-25,17.17766953
2016-05-02,17.86544037
2016-05-09,18.18650055
2016-05-16,18.36730003
2016-05-23,18.45070076
2016-05-30,18.63232994
2016-06-06,18.61264992
2016-06-13,18.73238945
2016-06-20,18.97114944
2016-06-27,18.38892937
2016-07-04,18.49839020
2016-07-11,18.54706001
2016-07-18,18.53989983
2016-07-25,18.75528908
2016-08-01,18.75411987
2016-08-08,18.22260094
2016-08-15,18.24740028
2016-08-22,18.57929993
2016-08-29,18.55050087
2016-09-05,18.87229919
