Week,urban_pop
1987-12-14,181101538.82692307
1987-12-21,181139429.8846154
1987-12-28,181177320.94230768
1988-01-04,181215212.0
1988-01-11,181254004.8653846
1988-01-18,181292797.73076922
1988-01-25,181331590.59615386
1988-02-01,181370383.46153846
1988-02-08,181409176.32692307
1988-02-15,181447969.19230768
1988-02-22,181486762.05769232
1988-02-29,181525554.92307693
1988-03-07,181564347.78846154
1988-03-14,181603140.65384614
1988-03-21,181641933.51923078
1988-03-28,181680726.3846154
1988-04-04,181719519.25
1988-04-11,181758312.1153846
1988-04-18,181797104.98076922
1988-04-25,181835897.84615386
1988-05-02,181874690.71153846
1988-05-09,181913483.57692307
1988-05-16,181952276.44230768
1988-05-23,181991069.30769232
1988-05-30,182029862.17307693
1988-06-06,182068655.03846154
1988-06-13,182107447.90384614
1988-06-20,182146240.76923078
1988-06-27,182185033.6346154
1988-07-04,182223826.5
1988-07-11,182262619.3653846
1988-07-18,182301412.23076922
1988-07-25,182340205.09615386
1988-08-01,182378997.96153846
1988-08-08,182417790.82692307
1988-08-15,182456583.69230768
1988-08-22,182495376.55769232
1988-08-29,182534169.42307693
1988-09-05,182572962.28846154
1988-09-12,182611755.15384614
1988-09-19,182650548.01923078
1988-09-26,182689340.8846154
1988-10-03,182728133.75
1988-10-10,182766926.6153846
1988-10-17,182805719.48076922
1988-10-24,182844512.34615386
1988-10-31,182883305.21153846
1988-11-07,182922098.07692307
1988-11-14,182960890.94230768
1988-11-21,182999683.80769232
1988-11-28,183038476.67307693
1988-12-05,183077269.53846154
1988-12-12,183116062.40384614
1988-12-19,183154855.26923078
1988-12-26,183193648.1346154
1989-01-03,183232441.0
1989-01-10,183272854.03846154
1989-01-17,183313267.07692307
1989-01-24,183353680.1153846
1989-01-31,183394093.15384614
1989-02-07,183434506.19230768
1989-02-14,183474919.23076922
1989-02-21,183515332.26923078
1989-02-28,183555745.30769232
1989-03-07,183596158.34615386
1989-03-14,183636571.3846154
1989-03-21,183676984.42307693
1989-03-28,183717397.46153846
1989-04-04,183757810.5
