Date,Open,High,Low,Close,Volume
08/28/2015,485.75,491.38,479.1,491.38,0
08/21/2015,504.1,504.1,490.96,490.96,0
08/14/2015,509.56,509.56,500.34,501.19,0
08/07/2015,505.46,508.02,505.46,506.91,0
07/31/2015,491.38,501.02,491.38,498.04,0
07/24/2015,508.62,508.62,491.89,491.89,0
07/17/2015,508.87,513.05,508.87,508.96,0
07/10/2015,513.65,515.61,509.37,509.37,0
07/02/2015,511.52,516.13,505.38,516.13,0
06/26/2015,518.43,518.43,506.91,506.91,0
06/19/2015,515.78,516.13,509.73,514.25,0
06/12/2015,517.41,523.98,514.68,514.68,0
06/05/2015,519.28,519.28,513.91,513.91,0
05/29/2015,514.08,521.33,514.08,516.3,0
05/22/2015,512.03,515.02,511.01,514.33,0
05/15/2015,509.83,519.03,509.83,514.68,0
05/08/2015,514.42,516.89,509.06,514.78,0
05/01/2015,512.88,515.78,509.13,509.13,0
04/24/2015,497.87,516.04,497.87,516.04,0
04/17/2015,508.36,518.77,508.36,508.53,0
04/10/2015,517.92,519.88,507.85,507.85,0
04/02/2015,522.1,523.46,519.54,523.46,0
03/27/2015,522.18,522.35,518.77,522.1,0
03/20/2015,494.8,513.57,494.8,513.57,0
03/13/2015,514.88,514.88,495.82,495.82,0
03/06/2015,523.72,525.77,515.53,522.66,0
02/27/2015,502.05,517.75,496.84,517.75,0
02/20/2015,514.42,520.9,506.91,506.91,0
02/13/2015,524.4,524.83,515.7,522.95,0
02/06/2015,510.58,515.44,505.2,515.44,0
01/30/2015,505.12,519.71,505.12,519.71,0
01/23/2015,515.61,518.34,507.85,507.85,0
01/16/2015,545.36,545.36,521.5,522.01,0
01/09/2015,567.32,567.32,547.32,547.32,0
01/02/2015,563.14,565.44,558.19,565.44,0
12/26/2014,548.89,554.52,548.04,554.52,0
12/19/2014,552.05,552.05,531.83,546.42,0
12/12/2014,552.47,556.48,552.47,553.5,0
12/05/2014,583.11,583.11,562.71,562.71,0
11/28/2014,580.29,583.7,577.56,577.56,0
11/21/2014,587.37,588.05,586.43,587.54,0
11/14/2014,572.3,584.56,572.3,584.56,0
11/07/2014,570.14,570.36,563.82,570.36,0
10/31/2014,572.78,572.78,566.72,566.72,0
10/24/2014,573.46,577.13,569.62,569.62,0
10/17/2014,568.94,568.94,554.52,563.31,0
10/10/2014,567.58,573.55,564.16,564.16,0
10/03/2014,561.35,568,557.94,566.13,0
09/26/2014,541.47,553.24,541.47,553.24,0
09/19/2014,542.75,546.07,541.64,541.64,0
09/12/2014,542.63,549.97,542.63,543.52,0
09/05/2014,520.22,545.22,520.22,545.22,0
08/29/2014,505.63,516.81,504.52,516.81,0
08/22/2014,507,507,496.25,501.71,0
08/15/2014,513.48,513.48,500.17,504.27,0
08/08/2014,533.19,533.19,511.95,511.95,0
08/01/2014,542.92,545.82,532.42,532.42,0
07/25/2014,529.86,545.39,529.86,545.39,0
07/18/2014,514.85,526.71,514.85,526.71,0
07/11/2014,528.84,528.84,510.9,515.85,0
07/03/2014,512.2,529.01,512.2,529.01,0
06/27/2014,501.45,521.33,501.45,515.78,0
06/20/2014,499.83,503.33,494.97,499.4,0
06/13/2014,488.99,500.43,485.32,500.43,0
06/06/2014,474.83,482.34,474.83,482.25,0
05/30/2014,466.72,475,466.72,473.04,0
05/23/2014,479.69,479.69,468,468,0
05/16/2014,470.96,472.35,470.39,472.27,0
05/09/2014,469.37,472.01,469.37,471.47,0
05/02/2014,466.98,475.26,466.98,471.16,0
