DATE,TOTALSA
2004-08-01,19.11288144534536
2004-08-08,17.32278480780616
2004-08-15,17.84621874033498
2004-08-22,20.269068280212988
2004-08-29,17.392645076082843
2004-09-05,19.648902282555973
2004-09-12,18.257368031510495
2004-09-19,18.594499129392457
2004-09-26,18.129058429326605
2004-10-03,19.872715461138817
2004-10-10,18.558061759190103
2004-10-17,17.354725301639764
2004-10-24,18.528966342608946
2004-10-31,17.612126004618087
2004-11-07,17.471088416566527
2004-11-14,17.514192885426855
2004-11-21,16.582993100955882
2004-11-28,17.817902813407077
2004-12-05,17.678670726628248
2004-12-12,19.223751390375796
2004-12-19,18.895059840552832
2004-12-26,17.416992900803
2005-01-02,17.115857601315682
2005-01-09,18.626651277100393
2005-01-16,14.723196146711144
2005-01-23,15.852142987205813
