Date,Price,Open,High,Low,Vol.,Change %
19-Jan-14,96.64,94,97.84,93.43,801.73K,2.41%
12-Jan-14,94.37,92.83,94.94,91.43,1.00M,1.78%
5-Jan-14,92.72,94.18,94.59,91.24,1.12M,-1.32%
29-Dec-13,93.96,100.15,100.42,93.86,699.03K,-6.34%
22-Dec-13,100.32,99.2,100.75,98.53,352.01K,1.01%
15-Dec-13,99.32,96.55,99.4,96.21,567.20K,2.82%
8-Dec-13,96.6,97.66,98.75,96.26,1.19M,-1.08%
1-Dec-13,97.65,92.71,98.07,92.56,1.32M,5.32%
24-Nov-13,92.72,94.15,94.69,91.77,805.12K,-2.24%
17-Nov-13,94.84,93.78,95.63,92.43,808.33K,1.07%
10-Nov-13,93.84,94.45,95.38,92.51,1.38M,-0.80%
3-Nov-13,94.6,94.52,95.4,93.07,1.23M,-0.01%
27-Oct-13,94.61,97.88,98.82,94.36,1.22M,-3.31%
20-Oct-13,97.85,100.63,100.95,95.95,919.12K,-2.94%
13-Oct-13,100.81,101.37,102.97,100.03,1.03M,-1.19%
6-Oct-13,102.02,103.45,104.08,100.6,1.34M,-1.75%
29-Sep-13,103.84,102.46,104.38,101.05,1.14M,0.94%
22-Sep-13,102.87,104.89,105.12,102.2,1.14M,-1.73%
15-Sep-13,104.68,107.5,108.99,104.32,966.73K,-3.26%
8-Sep-13,108.21,110.28,110.46,106.39,1.29M,-2.10%
1-Sep-13,110.53,107.07,110.7,104.21,967.15K,2.68%
25-Aug-13,107.65,106.91,112.24,105.56,1.29M,1.16%
18-Aug-13,106.42,107.78,107.8,103.5,866.14K,-0.97%
11-Aug-13,107.46,105.84,108.17,105.03,1.24M,1.41%
4-Aug-13,105.97,106.84,107.69,102.22,1.40M,-0.91%
28-Jul-13,106.94,104.61,108.82,102.67,1.26M,2.14%
21-Jul-13,104.7,108.34,108.79,103.9,1.03M,-3.10%
14-Jul-13,108.05,106.05,109.32,104.65,992.85K,1.98%
7-Jul-13,105.95,103.95,107.45,102.13,1.50M,2.64%
30-Jun-13,103.22,96.58,103.68,96.07,1.12M,6.90%
23-Jun-13,96.56,93.85,97.82,92.67,1.39M,3.06%
16-Jun-13,93.69,97.85,99.01,93.12,867.35K,-4.25%
9-Jun-13,97.85,96.09,98.25,94.04,1.20M,1.90%
2-Jun-13,96.03,91.73,96.39,91.26,1.46M,4.41%
26-May-13,91.97,93.89,95.92,91.56,1.10M,-2.32%
19-May-13,94.15,95.93,97.11,92.21,982.74K,-1.95%
12-May-13,96.02,95.76,96.45,92.13,1.41M,-0.02%
5-May-13,96.04,95.58,97.17,93.37,1.43M,0.45%
28-Apr-13,95.61,92.7,96.04,90.11,1.43M,2.81%
21-Apr-13,93,87.96,93.87,87.55,1.09M,5.67%
14-Apr-13,88.01,90.95,90.98,85.61,1.27M,-3.59%
7-Apr-13,91.29,93.02,94.82,90.27,1.24M,-1.52%
31-Mar-13,92.7,97.36,97.8,91.91,1.33M,-4.66%
24-Mar-13,97.23,93.72,97.35,93.7,867.16K,3.76%
17-Mar-13,93.71,93.26,94.09,91.76,692.56K,0.28%
10-Mar-13,93.45,91.83,93.84,90.89,1.08M,1.63%
3-Mar-13,91.95,90.71,92.03,89.33,1.14M,1.40%
24-Feb-13,90.68,93.23,94.46,90.04,1.12M,-2.63%
17-Feb-13,93.13,95.97,97.07,92.44,639.29K,-2.85%
10-Feb-13,95.86,95.79,98.11,94.97,1.17M,0.15%
3-Feb-13,95.72,97.72,97.76,95.04,1.17M,-2.10%
27-Jan-13,97.77,96.04,98.24,95.47,1.13M,1.97%
20-Jan-13,95.88,95.25,96.92,94.95,772.87K,0.33%
13-Jan-13,95.56,93.74,96.04,92.95,1.04M,2.14%
6-Jan-13,93.56,93.21,94.7,92.42,1.10M,0.50%
30-Dec-12,93.09,90.41,93.87,90,723.95K,2.52%
23-Dec-12,90.8,88.6,91.49,88.2,474.26K,2.41%
16-Dec-12,88.66,86.88,90.54,86.48,645.68K,2.23%
9-Dec-12,86.73,85.98,87.68,85.21,1.18M,0.93%
2-Dec-12,85.93,88.85,90.33,85.68,1.18M,-3.35%
25-Nov-12,88.91,88.21,88.99,85.36,1.10M,0.71%
18-Nov-12,88.28,87.3,89.8,86.17,895.63K,1.86%
11-Nov-12,86.67,86.19,87.01,84.57,1.11M,0.70%
4-Nov-12,86.07,84.65,89.22,84.05,1.57M,1.43%
28-Oct-12,84.86,86.43,87.42,84.66,959.02K,-1.65%
21-Oct-12,86.28,89.52,90.8,84.94,1.05M,-4.19%
14-Oct-12,90.05,91.63,93.05,89.79,1.04M,-1.97%
7-Oct-12,91.86,89.85,93.66,88.21,1.38M,2.20%
30-Sep-12,89.88,92.15,93.33,87.7,1.30M,-2.51%
23-Sep-12,92.19,93.18,93.2,88.95,1.15M,-0.75%
16-Sep-12,92.89,99.15,99.52,90.66,848.69K,-6.17%
9-Sep-12,99,96.24,100.42,95.34,1.23M,2.68%
2-Sep-12,96.42,96.38,97.71,94.08,1.11M,-0.05%
26-Aug-12,96.47,96.67,97.72,93.95,1.06M,0.33%
19-Aug-12,96.15,96.36,98.29,95.02,793.20K,0.15%
12-Aug-12,96.01,93.25,96.28,92.05,1.14M,3.38%
5-Aug-12,92.87,91.34,94.72,90.63,1.21M,1.61%
29-Jul-12,91.4,90.14,91.74,86.92,1.36M,1.41%
22-Jul-12,90.13,91.61,91.64,86.84,1.33M,-1.43%
15-Jul-12,91.44,87.13,92.94,86.41,803.78K,4.98%
8-Jul-12,87.1,84.2,87.61,83.65,1.36M,3.14%
1-Jul-12,84.45,84.65,88.98,82.1,1.30M,-0.60%
24-Jun-12,84.96,80.2,85.34,77.28,1.50M,6.52%
17-Jun-12,79.76,85.09,85.6,77.56,1.03M,-5.08%
10-Jun-12,84.03,85.72,86.64,81.07,1.49M,-0.08%
3-Jun-12,84.1,82.96,87.03,81.21,1.51M,1.05%
27-May-12,83.23,91,92.21,82.29,1.31M,-8.40%
20-May-12,90.86,91.27,93.06,89.28,795.57K,-0.68%
13-May-12,91.48,95.79,95.83,90.93,1.34M,-4.84%
6-May-12,96.13,98.05,98.24,95.17,1.51M,-2.40%
29-Apr-12,98.49,104.93,106.43,97.51,1.47M,-6.14%
22-Apr-12,104.93,103.82,105,101.82,1.06M,1.82%
15-Apr-12,103.05,102.8,105.07,101.67,840.27K,0.21%
8-Apr-12,102.83,102.53,104.24,100.68,1.30M,-0.46%
1-Apr-12,103.31,103.27,105.49,101.08,1.07M,0.28%
25-Mar-12,103.02,106.79,107.73,102.13,1.24M,-3.60%
18-Mar-12,106.87,107.18,108.25,104.5,945.14K,-0.18%
11-Mar-12,107.06,107.5,107.56,103.78,1.36M,-0.32%
4-Mar-12,107.4,106.75,108.2,104.35,1.49M,0.66%
26-Feb-12,106.7,109.67,110.55,104.84,1.60M,-2.80%
19-Feb-12,109.77,104.65,109.95,104.26,867.68K,6.33%
12-Feb-12,103.24,99.33,104.14,99.09,1.19M,4.63%
5-Feb-12,98.67,97.74,100.18,95.84,1.63M,0.85%
29-Jan-12,97.84,100,101.29,95.44,1.53M,-1.73%
22-Jan-12,99.56,98.34,101.39,97.4,1.32M,1.12%
15-Jan-12,98.46,98.95,102.06,97.91,746.50K,-0.24%
8-Jan-12,98.7,101.92,103.41,97.7,1.62M,-2.82%
1-Jan-12,101.56,99.7,103.74,99.65,1.13M,2.76%
25-Dec-11,98.83,99.92,101.77,98.3,596.87K,-0.85%
18-Dec-11,99.68,93.76,100.23,92.54,616.74K,6.58%
11-Dec-11,93.53,99.58,101.25,92.52,1.52M,-5.91%
4-Dec-11,99.41,101.23,102.44,97.36,1.45M,-1.54%
27-Nov-11,100.96,97.5,101.75,97.13,1.46M,4.33%
20-Nov-11,96.77,97.54,98.7,94.99,1.07M,-0.66%
13-Nov-11,97.41,99.3,103.37,96.64,1.32M,-1.60%
6-Nov-11,98.99,94.4,99.4,93.23,1.71M,5.02%
30-Oct-11,94.26,93.53,94.93,89.17,1.44M,1.01%
23-Oct-11,93.32,87.05,94.65,87,1.99M,6.77%
16-Oct-11,87.4,87.48,89.51,84.1,870.90K,0.69%
9-Oct-11,86.8,82.75,87.42,82.75,1.56M,4.60%
2-Oct-11,82.98,78.92,84,74.95,1.92M,4.77%
25-Sep-11,79.2,79.64,84.77,77.11,1.64M,-0.81%
18-Sep-11,79.85,87.75,87.99,77.55,1.35M,-9.22%
11-Sep-11,87.96,86.7,90.52,85,1.56M,0.83%
4-Sep-11,87.24,86.46,90.48,83.2,1.32M,0.91%
28-Aug-11,86.45,85.33,89.9,85.11,1.43M,1.27%
21-Aug-11,85.37,82.42,86.59,81.13,1.32M,3.78%
14-Aug-11,82.26,85.59,89,79.17,1.49M,-3.65%
7-Aug-11,85.38,85.71,87.37,75.71,2.50M,-1.73%
31-Jul-11,86.88,96.2,98.6,82.87,2.13M,-9.22%
24-Jul-11,95.7,99.76,100.62,94.95,1.36M,-4.18%
17-Jul-11,99.87,97.37,100.19,94.69,894.54K,2.70%
10-Jul-11,97.24,96.1,99.21,93.55,1.68M,1.08%
3-Jul-11,96.2,94.98,99.42,94.34,1.25M,1.33%
26-Jun-11,94.94,91.16,95.84,89.61,1.45M,4.15%
19-Jun-11,91.16,92.8,95.7,89.69,1.30M,-1.99%
12-Jun-11,93.01,98.77,99.95,91.84,1.82M,-6.32%
5-Jun-11,99.29,100.42,102.44,97.74,1.91M,-0.93%
29-May-11,100.22,100.69,103.39,98.12,1.44M,-0.37%
22-May-11,100.59,99.68,101.9,96.37,1.54M,1.11%
15-May-11,99.49,99.36,100.99,95.02,1.20M,-0.16%
8-May-11,99.65,98.11,104.6,95.25,2.32M,2.54%
1-May-11,97.18,113.89,114.83,94.63,2.22M,-14.70%
24-Apr-11,113.93,112.34,114.18,110.71,1.29M,1.46%
17-Apr-11,112.29,109.43,112.48,105.5,707.27K,2.40%
10-Apr-11,109.66,113.28,113.46,105.31,1.95M,-2.78%
3-Apr-11,112.79,108.29,113.21,107.5,1.39M,4.49%
27-Mar-11,107.94,105.43,108.47,102.7,1.28M,2.41%
20-Mar-11,105.4,102.12,106.69,101.43,884.12K,4.28%
13-Mar-11,101.07,100.31,103.66,96.22,1.52M,-0.09%
6-Mar-11,101.16,104.65,106.95,99.01,1.95M,-3.12%
27-Feb-11,104.42,98.5,105.17,96.37,1.78M,6.68%
20-Feb-11,97.88,86.33,103.41,86.25,1.34M,13.55%
13-Feb-11,86.2,85.5,87.88,83.85,1.23M,0.72%
6-Feb-11,85.58,89.06,89.54,85.1,1.91M,-3.88%
30-Jan-11,89.03,89.97,92.84,88.4,1.79M,-0.35%
23-Jan-11,89.34,89.26,89.73,85.11,2.00M,0.26%
16-Jan-11,89.11,91.51,92.1,88,635.23K,-2.65%
9-Jan-11,91.54,89,92.39,88.13,1.91M,3.99%
2-Jan-11,88.03,91.31,92.58,87.25,1.94M,-3.67%
26-Dec-10,91.38,91.07,92.06,89.02,707.24K,-0.14%
19-Dec-10,91.51,88.18,91.63,87.26,552.76K,3.97%
12-Dec-10,88.02,87.68,89.49,86.83,1.34M,0.26%
5-Dec-10,87.79,89.44,90.76,87.1,1.81M,-1.57%
28-Nov-10,89.19,83.9,89.49,83.55,1.70M,6.48%
21-Nov-10,83.76,82.15,84.53,80.28,1.14M,2.76%
14-Nov-10,81.51,84.87,85.77,80.06,1.30M,-3.97%
7-Nov-10,84.88,87.39,88.63,84.52,1.97M,-2.27%
31-Oct-10,86.85,81.45,87.43,81.32,1.67M,6.66%
24-Oct-10,81.43,82.01,83.28,80.52,1.59M,-0.32%
17-Oct-10,81.69,81.38,83.28,79.25,1.05M,0.54%
10-Oct-10,81.25,82.95,84.12,80.75,1.58M,-1.71%
3-Oct-10,82.66,81.68,84.43,80.3,1.86M,1.32%
26-Sep-10,81.58,76.47,81.75,75.52,1.79M,6.65%
19-Sep-10,76.49,73.59,76.68,72.81,1.10M,3.84%
12-Sep-10,73.66,76.36,78.04,72.75,1.61M,-3.65%
5-Sep-10,76.45,74.3,76.73,72.63,1.57M,2.48%
29-Aug-10,74.6,75.5,75.58,71.53,1.85M,-0.76%
22-Aug-10,75.17,73.9,75.59,70.76,1.78M,2.33%
15-Aug-10,73.46,75.6,76.63,73.19,988.60K,-2.56%
8-Aug-10,75.39,80.91,81.76,75.01,1.79M,-6.58%
1-Aug-10,80.7,78.95,82.97,78.83,1.52M,2.22%
25-Jul-10,78.95,78.98,79.69,75.9,1.56M,-0.04%
18-Jul-10,78.98,75.72,79.6,75.5,1.14M,3.91%
11-Jul-10,76.01,76.3,78.15,74.25,1.63M,-0.11%
4-Jul-10,76.09,72.06,76.48,71.09,1.21M,5.48%
27-Jun-10,72.14,79,79.38,71.62,1.57M,-8.52%
20-Jun-10,78.86,77.5,79.19,75.17,1.09M,2.18%
13-Jun-10,77.18,74.06,78.13,74.04,1.41M,4.61%
6-Jun-10,73.78,70.35,76.3,69.51,2.13M,3.17%
30-May-10,71.51,73.97,75.42,70.73,1.72M,-3.33%
